archive_path	source_path	usage_context	purpose
d0-reproduction/docs/MC_OFFICIAL_MODEL.md	research/cms-d0-analysis/MC_OFFICIAL_MODEL.md	D0 reproduction documentation and command provenance	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/docs/PLOTS.md	research/cms-d0-analysis/PLOTS.md	D0 reproduction documentation and command provenance	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/docs/PYTHIA_MC.md	research/cms-d0-analysis/PYTHIA_MC.md	D0 reproduction documentation and command provenance	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/docs/README.md	research/cms-d0-analysis/README.md	D0 reproduction documentation and command provenance	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/docs/RUNS.md	research/cms-d0-analysis/RUNS.md	D0 reproduction documentation and command provenance	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/docs/registry.yaml	research/cms-d0-analysis/registry.yaml	D0 reproduction documentation and command provenance	Structured configuration or registry used by the workflow.
d0-reproduction/scripts/ZdcSelection.h	research/cms-d0-analysis/scripts/ZdcSelection.h	D0 reproduction analysis workflow	ROOT/C++ analysis helper or macro.
d0-reproduction/scripts/audit_selection_independence.py	research/cms-d0-analysis/scripts/audit_selection_independence.py	D0 reproduction analysis workflow	Generate Markdown and TSV audits classifying D0 selection definitions as independent, partially independent, AN-specified, or blocked, with next actions to reduce overfit risk.
d0-reproduction/scripts/audit_zdc_hf_cut_inputs.py	research/cms-d0-analysis/scripts/audit_zdc_hf_cut_inputs.py	D0 reproduction analysis workflow	Summary/audit code used to compact validation outputs into tables or notes.
d0-reproduction/scripts/build_codex_d0_capability_report.py	research/cms-d0-analysis/scripts/build_codex_d0_capability_report.py	D0 reproduction analysis workflow	Report, table, scaffold, or configuration builder.
d0-reproduction/scripts/build_d0_an_recreation.py	research/cms-d0-analysis/scripts/build_d0_an_recreation.py	D0 reproduction analysis workflow	Report, table, scaffold, or configuration builder.
d0-reproduction/scripts/build_d0_workflow_slides.py	research/cms-d0-analysis/scripts/build_d0_workflow_slides.py	D0 reproduction analysis workflow	Report, table, scaffold, or configuration builder.
d0-reproduction/scripts/build_final_yield_fit_summary.py	research/cms-d0-analysis/scripts/build_final_yield_fit_summary.py	D0 reproduction analysis workflow	Build raw-yield mass-fit QA tables and plots from current diagnostic mass fits without applying final corrections.
d0-reproduction/scripts/build_medium_scale_preflight_report.py	research/cms-d0-analysis/scripts/build_medium_scale_preflight_report.py	D0 reproduction analysis workflow	Build the compact medium-scale D0 reproduction preflight report from existing ZDC, HF, topology, and selection-independence outputs.
d0-reproduction/scripts/build_normalization_scaffold.py	research/cms-d0-analysis/scripts/build_normalization_scaffold.py	D0 reproduction analysis workflow	Build raw-yield proxy plots, a cross-section formula/config scaffold, and an explicit external-input request table for final D0 normalization.
d0-reproduction/scripts/build_official_mc_sample_tables.py	research/cms-d0-analysis/scripts/build_official_mc_sample_tables.py	D0 reproduction analysis workflow	Generate compact AN-style official D0 UPC MC sample provenance tables from stored McM snapshots and the local CMS D0 registry.
d0-reproduction/scripts/build_pthat_stitching_scaffold.py	research/cms-d0-analysis/scripts/build_pthat_stitching_scaffold.py	D0 reproduction analysis workflow	Build private-MC pThat stitching input contracts, sample-registry template, formula note, and appendix target mapping without claiming a stitched MC result.
d0-reproduction/scripts/build_theory_comparison_scaffold.py	research/cms-d0-analysis/scripts/build_theory_comparison_scaffold.py	D0 reproduction analysis workflow	Build FONLL/theory-comparison input contracts, target mappings, status plots, and a final plotter template without inventing theory curves.
d0-reproduction/scripts/check_topological_pointing_closure.C	research/cms-d0-analysis/scripts/check_topological_pointing_closure.C	D0 reproduction analysis workflow	Run the 2023-data ROOT pass for nearby pointing-plateau closure, producing mass histogram and sideband-subtracted yield tables.
d0-reproduction/scripts/compare_two_d0_forests_same_events.C	research/cms-d0-analysis/scripts/compare_two_d0_forests_same_events.C	D0 reproduction analysis workflow	Compare recreated and official Dfinder forests on matched events, producing staged D0 cutflow CSVs and mass-overlay plots up to the D0 peak.
d0-reproduction/scripts/compare_zdc_same_events.C	research/cms-d0-analysis/scripts/compare_zdc_same_events.C	D0 reproduction analysis workflow	Compare recreated and official HiForest ZDC rechit/digi side sums on matched run/lumi/event keys, including `lt OR 1500` and nominal `0nXn` decision parity.
d0-reproduction/scripts/derive_2023_d0_topology_cuts_an_sideband.C	research/cms-d0-analysis/scripts/derive_2023_d0_topology_cuts_an_sideband.C	D0 reproduction analysis workflow	Run the full-stat D0 topological-cut rectangular scan using prompt MC signal efficiency and 2023 data sideband background; defaults to the AN Section 7.1 sideband but accepts derived sideband bounds.
d0-reproduction/scripts/derive_2023_d0_topology_cuts_mc_background.C	research/cms-d0-analysis/scripts/derive_2023_d0_topology_cuts_mc_background.C	D0 reproduction analysis workflow	Run the D0 topology discrepancy check using truth-matched prompt MC as signal and non-truth-matched MC candidates in a configurable mass sideband as background.
d0-reproduction/scripts/derive_d0_topology_sidebands.C	research/cms-d0-analysis/scripts/derive_d0_topology_sidebands.C	D0 reproduction analysis workflow	Derive D0 topology-optimization mass sidebands from MC truth-matched mass resolution, then evaluate data sideband balance and MC signal leakage without using AN sideband constants as inputs.
d0-reproduction/scripts/derive_hf_gap_cutoffs_data_mc.C	research/cms-d0-analysis/scripts/derive_hf_gap_cutoffs_data_mc.C	D0 reproduction analysis workflow	Derive blind D0 HF rapidity-gap cutoffs from prompt MC gap-side retention, 2023 data low/high track-multiplicity controls, and EmptyBX detector-noise validation; AN values are posthoc markers only.
d0-reproduction/scripts/derive_topological_floor_justification.py	research/cms-d0-analysis/scripts/derive_topological_floor_justification.py	D0 reproduction analysis workflow	Derive D0 rectangular `DsvpvSig` and `Dchi2cl` quality floors from full-stat topology scan tables without using AN floor values as inputs.
d0-reproduction/scripts/derive_topological_pointing_closure.py	research/cms-d0-analysis/scripts/derive_topological_pointing_closure.py	D0 reproduction analysis workflow	Prepare frozen neighboring accepted Dalpha/Ddtheta plateau points and summarize post-derivation mass-window/efficiency-corrected yield closure outputs.
d0-reproduction/scripts/derive_topological_pointing_justification.py	research/cms-d0-analysis/scripts/derive_topological_pointing_justification.py	D0 reproduction analysis workflow	After independent DsvpvSig/Dchi2cl floor derivation, test Dalpha/Ddtheta points against a predeclared signal-efficient, background-stable plateau and validate whether AN rows lie inside it.
d0-reproduction/scripts/derive_zdc_1n_thresholds_data_driven.C	research/cms-d0-analysis/scripts/derive_zdc_1n_thresholds_data_driven.C	D0 reproduction analysis workflow	Cut-derivation or selection-study code used to justify analysis thresholds.
d0-reproduction/scripts/derive_zdc_hf_cutoffs_from_official_mc_forest.C	research/cms-d0-analysis/scripts/derive_zdc_hf_cutoffs_from_official_mc_forest.C	D0 reproduction analysis workflow	Compare official BeamA/BeamB UPC D0 MC forests against 2023 data and EmptyBX controls for ZDC/HF diagnostics, producing plots and a cutoff TSV.
d0-reproduction/scripts/derive_zdc_hf_mc_cutoffs.C	research/cms-d0-analysis/scripts/derive_zdc_hf_mc_cutoffs.C	D0 reproduction analysis workflow	Cut-derivation or selection-study code used to justify analysis thresholds.
d0-reproduction/scripts/diagnose_event_d_cut_correlation.C	research/cms-d0-analysis/scripts/diagnose_event_d_cut_correlation.C	D0 reproduction analysis workflow	ROOT/C++ analysis helper or macro.
d0-reproduction/scripts/diagnose_zdc_channel_mismatch.C	research/cms-d0-analysis/scripts/diagnose_zdc_channel_mismatch.C	D0 reproduction analysis workflow	ROOT/C++ analysis helper or macro.
d0-reproduction/scripts/extract_hiforest_twiki_datasets.py	research/cms-d0-analysis/scripts/extract_hiforest_twiki_datasets.py	D0 reproduction analysis workflow	Fetch the CMS HiForest2025PbPbHF TWiki and generate compact YAML/Markdown dataset inventories for the CMS D0 reproduction roadmap.
d0-reproduction/scripts/find_official_forest_events.C	research/cms-d0-analysis/scripts/find_official_forest_events.C	D0 reproduction analysis workflow	Find the official 2023 HIForward0 Dfinder forest shard containing the same Run/Lumi/Event keys as a recreated MINIAOD-derived forest.
d0-reproduction/scripts/inspect_forest_detector_branches.C	research/cms-d0-analysis/scripts/inspect_forest_detector_branches.C	D0 reproduction analysis workflow	Print compact tree entry counts and detector-relevant branch names for a HiForest, especially ZDC/HF/PF branches.
d0-reproduction/scripts/launch_d0_an_gap_push_detached.sh	research/cms-d0-analysis/scripts/launch_d0_an_gap_push_detached.sh	D0 reproduction analysis workflow	Launch the standard detached D0 AN gap-push jobs with per-job logs, input-class labels, and a jobs.tsv manifest.
d0-reproduction/scripts/launch_d0_an_recreation_detached.sh	research/cms-d0-analysis/scripts/launch_d0_an_recreation_detached.sh	D0 reproduction analysis workflow	Workflow runner used to execute local, LXPLUS, CRAB, or detached analysis steps.
d0-reproduction/scripts/list_zdc_tree_branches.C	research/cms-d0-analysis/scripts/list_zdc_tree_branches.C	D0 reproduction analysis workflow	ROOT/C++ analysis helper or macro.
d0-reproduction/scripts/make_2023_tiny_miniaod_cfg.py	research/cms-d0-analysis/scripts/make_2023_tiny_miniaod_cfg.py	D0 reproduction analysis workflow	Create a physically bounded tiny 2023 HIForward0 MINIAOD file for reliable CRAB smoke tests when CRAB worker maxEvents behavior is ambiguous.
d0-reproduction/scripts/make_2025_2026_pt_y_mass_plots.py	research/cms-d0-analysis/scripts/make_2025_2026_pt_y_mass_plots.py	D0 reproduction analysis workflow	Run ROOT on LXPLUS to produce 2025 and 2026 D0 mass spectra in requested pT/signed-y bins plus an all-selected mass overlay sanity check, then rewrite and optionally sync general-codex-output.
d0-reproduction/scripts/make_2026_pt_y_mass_plots.py	research/cms-d0-analysis/scripts/make_2026_pt_y_mass_plots.py	D0 reproduction analysis workflow	Run ROOT on LXPLUS to produce 2026 D0 mass spectra in the requested pT and signed-rapidity bins, then rewrite and optionally sync general-codex-output.
d0-reproduction/scripts/minimize_2023_d0_forest.C	research/cms-d0-analysis/scripts/minimize_2023_d0_forest.C	D0 reproduction analysis workflow	Convert a recreated 2023 D0 forest into an analysis-minimal forest containing only the trees and branches read by the current Section 5/7 mass-chain reproduction.; Prune a 2023 D0 forest to the Section 5/7 branch set needed for the D0 mass-chain validation.
d0-reproduction/scripts/promote_an_recreation_to_general_output.sh	research/cms-d0-analysis/scripts/promote_an_recreation_to_general_output.sh	D0 reproduction analysis workflow	Shell workflow wrapper.
d0-reproduction/scripts/render_missing_an_mc_proxy_plots.C	research/cms-d0-analysis/scripts/render_missing_an_mc_proxy_plots.C	D0 reproduction analysis workflow	ROOT renderer used by d0-missing-an-mc-proxy-plots to build missing-AN proxy plots from official prompt MC and recreated 98-forest selected D data.
d0-reproduction/scripts/render_missing_an_official_proxy_plots.C	research/cms-d0-analysis/scripts/render_missing_an_official_proxy_plots.C	D0 reproduction analysis workflow	ROOT renderer used by d0-missing-an-official-proxy-plots to build trigger-bit occupancy, candidate-level trigger-efficiency proxies, DCA template prompt-fraction proxies, and D-selection systematic variation panels.
d0-reproduction/scripts/render_recreated_an_proxy_plots.C	research/cms-d0-analysis/scripts/render_recreated_an_proxy_plots.C	D0 reproduction analysis workflow	Plotting or visualization code used to create diagnostic analysis figures.
d0-reproduction/scripts/render_zdc_multipeak_fits.C	research/cms-d0-analysis/scripts/render_zdc_multipeak_fits.C	D0 reproduction analysis workflow	ROOT renderer used by d0-zdc-multipeak-fits to produce ZDC reduced-tree peak-fit proxy plots and raw-channel branch availability audits.
d0-reproduction/scripts/run_2023_forest_crab_smoke.sh	research/cms-d0-analysis/scripts/run_2023_forest_crab_smoke.sh	D0 reproduction analysis workflow	Prepare and submit bounded 2023 D0 forest CRAB smoke tasks using old CRAB compute settings while writing to Evan-owned EOS/CERNBOX output.
d0-reproduction/scripts/run_2023_forest_smoke.sh	research/cms-d0-analysis/scripts/run_2023_forest_smoke.sh	D0 reproduction analysis workflow	Workflow runner used to execute local, LXPLUS, CRAB, or detached analysis steps.
d0-reproduction/scripts/run_bdt_topology_optimization.py	research/cms-d0-analysis/scripts/run_bdt_topology_optimization.py	D0 reproduction analysis workflow	Workflow runner used to execute local, LXPLUS, CRAB, or detached analysis steps.
d0-reproduction/scripts/run_bdt_topology_optimization.sh	research/cms-d0-analysis/scripts/run_bdt_topology_optimization.sh	D0 reproduction analysis workflow	Workflow runner used to execute local, LXPLUS, CRAB, or detached analysis steps.
d0-reproduction/scripts/run_d0_an_recreation_job.sh	research/cms-d0-analysis/scripts/run_d0_an_recreation_job.sh	D0 reproduction analysis workflow	Workflow runner used to execute local, LXPLUS, CRAB, or detached analysis steps.
d0-reproduction/scripts/run_from_miniaod_mass_chain.sh	research/cms-d0-analysis/scripts/run_from_miniaod_mass_chain.sh	D0 reproduction analysis workflow	Workflow runner used to execute local, LXPLUS, CRAB, or detached analysis steps.
d0-reproduction/scripts/run_full_d0_an_recreation_workflow.sh	research/cms-d0-analysis/scripts/run_full_d0_an_recreation_workflow.sh	D0 reproduction analysis workflow	One-command workflow that checks LXPLUS/VOMS, regenerates recreated-data and prompt-MC/data AN proxy plots, builds the AN-shaped D0 reproduction draft, promotes it to general-codex-output, and pushes/checks Overleaf.
d0-reproduction/scripts/run_hf_gap_derivation.sh	research/cms-d0-analysis/scripts/run_hf_gap_derivation.sh	D0 reproduction analysis workflow	One-command LXPLUS runner for the D0 HF rapidity-gap cutoff derivation, copying outputs back locally and recording the CMS analysis ledger.
d0-reproduction/scripts/run_independent_sideband_topology_derivation.sh	research/cms-d0-analysis/scripts/run_independent_sideband_topology_derivation.sh	D0 reproduction analysis workflow	One-command workflow that derives D0 topology sidebands, reruns data-sideband and MC-background topology scans with the derived sideband, then regenerates floor and pointing justifications.
d0-reproduction/scripts/run_missing_an_mc_proxy_plots.sh	research/cms-d0-analysis/scripts/run_missing_an_mc_proxy_plots.sh	D0 reproduction analysis workflow	Render prompt-MC/data proxy plots for missing D0 AN targets, including ProcessID, reco/gen D0 maps, topology overlays, and selected-shape reweighting diagnostics.
d0-reproduction/scripts/run_missing_an_official_proxy_plots.sh	research/cms-d0-analysis/scripts/run_missing_an_official_proxy_plots.sh	D0 reproduction analysis workflow	Render official-reference proxy plots for D0 AN trigger, DCA prompt-fraction, and systematic-variation slots that require branches not present in the 98-forest selected skim.
d0-reproduction/scripts/run_recreated_an_proxy_plots.sh	research/cms-d0-analysis/scripts/run_recreated_an_proxy_plots.sh	D0 reproduction analysis workflow	Workflow runner used to execute local, LXPLUS, CRAB, or detached analysis steps.
d0-reproduction/scripts/run_recreated_vs_official_forest_validation.sh	research/cms-d0-analysis/scripts/run_recreated_vs_official_forest_validation.sh	D0 reproduction analysis workflow	Single-command runner for matching an official Dfinder shard to a recreated MINIAOD forest, then comparing staged D0 candidates and mass plots.
d0-reproduction/scripts/run_topological_pointing_closure.sh	research/cms-d0-analysis/scripts/run_topological_pointing_closure.sh	D0 reproduction analysis workflow	One-command wrapper that prepares closure points locally, runs the ROOT closure macro on LXPLUS, copies outputs back, and generates closure plots/summaries.
d0-reproduction/scripts/run_zdc_1n_threshold_derivation.sh	research/cms-d0-analysis/scripts/run_zdc_1n_threshold_derivation.sh	D0 reproduction analysis workflow	Workflow runner used to execute local, LXPLUS, CRAB, or detached analysis steps.
d0-reproduction/scripts/run_zdc_multipeak_fits.sh	research/cms-d0-analysis/scripts/run_zdc_multipeak_fits.sh	D0 reproduction analysis workflow	Run ZDC 1n/2n/3n reduced-tree peak-fit proxy plots on LXPLUS, copy outputs locally, and audit whether raw SOI/SOI+1 channel branches are available.
d0-reproduction/scripts/scan_daughter_track_cuts.C	research/cms-d0-analysis/scripts/scan_daughter_track_cuts.C	D0 reproduction analysis workflow	ROOT/C++ analysis helper or macro.
d0-reproduction/scripts/setup_cmssw132x_forest_area.sh	research/cms-d0-analysis/scripts/setup_cmssw132x_forest_area.sh	D0 reproduction analysis workflow	Create an isolated CMSSW_13_2 foresting work area on LXPLUS and sync the local HIForest/Bfinder/HeavyIonsAnalysis packages for exact 132X validation attempts.
d0-reproduction/scripts/summarize_cut_derivation.py	research/cms-d0-analysis/scripts/summarize_cut_derivation.py	D0 reproduction analysis workflow	Postprocess D0 cut-derivation TSV scans into near-nominal supported working points, raw-vs-nominal comparisons, and compact Markdown summaries.
d0-reproduction/scripts/summarize_reduced_tree_zdc.C	research/cms-d0-analysis/scripts/summarize_reduced_tree_zdc.C	D0 reproduction analysis workflow	Summary/audit code used to compact validation outputs into tables or notes.
d0-reproduction/scripts/summarize_topological_cut_scan.py	research/cms-d0-analysis/scripts/summarize_topological_cut_scan.py	D0 reproduction analysis workflow	Postprocess D0 topology scan TSVs into raw-vs-AN validation tables, AN-guided reproduction tables, and efficiency-vs-sideband plots; supports explicit background-source labels.
d0-reproduction/scripts/summarize_topology_sideband_derivation.py	research/cms-d0-analysis/scripts/summarize_topology_sideband_derivation.py	D0 reproduction analysis workflow	Summarize independent D0 topology sideband derivation TSVs and produce compact rule/stability plots.
d0-reproduction/scripts/summarize_zdc_channel_scales.C	research/cms-d0-analysis/scripts/summarize_zdc_channel_scales.C	D0 reproduction analysis workflow	Summary/audit code used to compact validation outputs into tables or notes.
d0-reproduction/scripts/summarize_zdc_forest.C	research/cms-d0-analysis/scripts/summarize_zdc_forest.C	D0 reproduction analysis workflow	Summarize ZDC rechit sums and raw zdcdigi occupancy/charge time slices from a HiForest into a compact TSV row.
d0-reproduction/scripts/summarize_zdc_scale_closure.py	research/cms-d0-analysis/scripts/summarize_zdc_scale_closure.py	D0 reproduction analysis workflow	Summarize same-event official/recreated ZDC side-sum closure, side-scale stability, residuals, and threshold-decision agreement for preflight validation.
d0-reproduction/scripts/validate_minimal_2023_d0_forest.C	research/cms-d0-analysis/scripts/validate_minimal_2023_d0_forest.C	D0 reproduction analysis workflow	Validate the analysis-minimal 2023 D0 forest schema and compare sampled event, ZDC, HF, and Dfinder values against the raw pre-pruned forest.; Validate the minimal 2023 D0 forest schema and compare key values against a raw reference forest.
d0-reproduction/scripts/zdc_selection.py	research/cms-d0-analysis/scripts/zdc_selection.py	D0 reproduction analysis workflow	Python helper for the canonical D0 ZDC offline signal and 0nXn/Xn0n XOR decision; C++ ROOT macros use the sibling `ZdcSelection.h`.
dplus-generalization/README.md	dplus-generalization/README.md	D+ Kpipi peak generalization test	Documentation describing workflow state, command recipes, or archive policy.
dplus-generalization/docs/README.md	research/cms-dplus-analysis/README.md	D+ Kpipi peak generalization test	Documentation describing workflow state, command recipes, or archive policy.
dplus-generalization/docs/RUNS.md	research/cms-dplus-analysis/RUNS.md	D+ Kpipi peak generalization test	Documentation describing workflow state, command recipes, or archive policy.
dplus-generalization/scripts/launch_dplus_medium_after_smoke.sh	research/cms-dplus-analysis/scripts/launch_dplus_medium_after_smoke.sh	D+ Kpipi peak generalization test	Workflow runner used to execute local, LXPLUS, CRAB, or detached analysis steps.
dplus-generalization/scripts/minimize_2023_dplus_forest.C	research/cms-dplus-analysis/scripts/minimize_2023_dplus_forest.C	D+ Kpipi peak generalization test	Forest-pruning code used to keep only analysis-relevant branches.
dplus-generalization/scripts/monitor_dplus_crab_and_plot.sh	research/cms-dplus-analysis/scripts/monitor_dplus_crab_and_plot.sh	D+ Kpipi peak generalization test	Token-saving local monitor that polls an existing D+ CRAB task, waits for expected ROOT outputs, runs the D+ mass plot macro on LXPLUS, and copies small plot artifacts into general-codex-output.
dplus-generalization/scripts/plot_dplus_mass.C	research/cms-dplus-analysis/scripts/plot_dplus_mass.C	D+ Kpipi peak generalization test	Plot diagnostic D+ -> Kpipi mass spectra from one or more Dfinder/ntDkpipi forests and write PNG/PDF/ROOT plus a cut summary.
dplus-generalization/scripts/plot_visible_dplus_crab_outputs.sh	research/cms-dplus-analysis/scripts/plot_visible_dplus_crab_outputs.sh	D+ Kpipi peak generalization test	Build a checkpoint D+ -> Kpipi mass plot from whatever medium-run CRAB ROOT outputs are currently visible on EOS, without mutating the CRAB task.
dplus-generalization/scripts/run_2023_dplus_forest_crab_smoke.sh	research/cms-dplus-analysis/scripts/run_2023_dplus_forest_crab_smoke.sh	D+ Kpipi peak generalization test	Prepare and submit FileBased CRAB tasks for D+ Kpipi foresting, with unitsPerJob=1 and Evan-owned EOS/CERNBOX output.
dplus-generalization/scripts/run_2023_dplus_forest_smoke.sh	research/cms-dplus-analysis/scripts/run_2023_dplus_forest_smoke.sh	D+ Kpipi peak generalization test	Run bounded local 2023 HIForward0 MINIAOD foresting with Dfinder D+/D- Kpipi channels enabled, producing raw and minimal D+ forests under Evan-owned CERN paths.
manifests/code_manifest.tsv	manifests/code_manifest.tsv	Archive manifest	Archived workflow file.
manifests/source_locations.tsv	manifests/source_locations.tsv	Archive manifest	Archived workflow file.
manifests/upstream_locations.tsv	manifests/upstream_locations.tsv	Archive manifest	Archived workflow file.
official-mc-fragments/README.md	work/cms-official-mc/README.md	Official D0 UPC MC setup	Documentation describing workflow state, command recipes, or archive policy.
official-mc-fragments/python/NonpromptGNucleusToD0PhotonBeamA_5362GeV_pythia8_evtgen_cfi.py	work/cms-official-mc/python/NonpromptGNucleusToD0PhotonBeamA_5362GeV_pythia8_evtgen_cfi.py	Official D0 UPC MC setup	Python workflow, plotting, validation, or maintenance helper.
official-mc-fragments/python/PromptGNucleusToD0PhotonBeamA_5362GeV_pythia8_evtgen_cfi.py	work/cms-official-mc/python/PromptGNucleusToD0PhotonBeamA_5362GeV_pythia8_evtgen_cfi.py	Official D0 UPC MC setup	Python workflow, plotting, validation, or maintenance helper.
official-mc-fragments/raw/HIN-HINPbPbWinter24UPCGS-00001_fragment_from_mcm.py	work/cms-official-mc/raw/HIN-HINPbPbWinter24UPCGS-00001_fragment_from_mcm.py	Official D0 UPC MC setup	Python workflow, plotting, validation, or maintenance helper.
official-mc-fragments/raw/HIN-HINPbPbWinter24UPCGS-00003_fragment_from_mcm.py	work/cms-official-mc/raw/HIN-HINPbPbWinter24UPCGS-00003_fragment_from_mcm.py	Official D0 UPC MC setup	Python workflow, plotting, validation, or maintenance helper.
orchestration/README.md	scripts/README.md	Agent-host orchestration helper	Documentation describing workflow state, command recipes, or archive policy.
orchestration/check-tool-registry.sh	scripts/check-tool-registry.sh	Agent-host orchestration helper	Validate tool registry uniqueness, required fields, commands, paths, and docs.
orchestration/cms-analysisctl	scripts/cms-analysisctl	Agent-host orchestration helper	Control helper for the CMS D0 analysis workspace; prints status, appends/lists the local analysis ledger, regenerates plot gallery and supervisor summary, and validates workspace structure.
orchestration/cms-official-mcctl	scripts/cms-official-mcctl	Agent-host orchestration helper	Fetch McM snapshots, render official prompt/nonprompt D0 UPC MC fragments, sync them to LXPLUS, and run bounded CMSSW_14_1_7 GEN smoke tests.
orchestration/list-tools.sh	scripts/list-tools.sh	Agent-host orchestration helper	Fast human/agent-facing tool registry query wrapper with default list, scope/subnetwork filters, and explicit search/info/check passthrough.
orchestration/lxplusctl	scripts/lxplusctl	Agent-host orchestration helper	Manage local LXPLUS access checks, Kerberos login, current-master/fresh SSH tests, interactive SSH, and SSH ControlMaster lifecycle.
orchestration/project-status.sh	scripts/project-status.sh	Agent-host orchestration helper	Show local/remote Git status for registered projects.
orchestration/project-sync.sh	scripts/project-sync.sh	Agent-host orchestration helper	Compile, commit, push GitHub, then push registered direct Overleaf Git remotes for registered projects.
orchestration/sync-overleaf-from-github.sh	scripts/sync-overleaf-from-github.sh	Agent-host orchestration helper	Fast-forward local registered repos from GitHub and mirror them to Overleaf for external GitHub pushes.
reporting/README.md	reporting/README.md	Report, Overleaf, and slide generation	Documentation describing workflow state, command recipes, or archive policy.
reporting/scripts/build_codex_d0_capability_report.py	repos/general-codex-output/support/slides/scripts/build_codex_d0_capability_report.py	Report, Overleaf, and slide generation	Build the supervisor-facing Google Slides/PPTX report on what Codex could and could not do during the D0 analysis-reproduction stress test, using stored D0/D+ plots and coverage tables.
reporting/tex/d0_recreated_analysis_note.tex	repos/general-codex-output/d0_recreated_analysis_note.tex	Report, Overleaf, and slide generation	TeX source for public-facing analysis/report output.
reporting/tex/d0_reproduction_workflow.tex	repos/general-codex-output/d0_reproduction_workflow.tex	Report, Overleaf, and slide generation	TeX source for public-facing analysis/report output.
reporting/tex/dplus_mass_peak_search.tex	repos/general-codex-output/dplus_mass_peak_search.tex	Report, Overleaf, and slide generation	TeX source for public-facing analysis/report output.
reporting/tex/main.tex	repos/general-codex-output/main.tex	Report, Overleaf, and slide generation	TeX source for public-facing analysis/report output.
tools/build_code_manifest.py	tools/build_code_manifest.py	Archive maintenance	Report, table, scaffold, or configuration builder.
tools/build_usage_manifest.py	tools/build_usage_manifest.py	Archive maintenance	Report, table, scaffold, or configuration builder.
